ID,馬主名,馬主netkeibaID
1133,北畑忍,599030
1134,上山牧,710033
1135,村瀬寛紀,262033
1136,村山義男,480007
1137,篠田くみ子,192033
1138,醍醐智仁,766031
1139,中丸裕嗣,23803
1140,菊池五郎,372002
1141,石原進,284031
1142,樋口正蔵,80005
1143,小林祐一,600033
1144,金山政信,839033
1145,牧埜幸一,160031
1146,長谷川成利,57030
1147,ニットー商事,752800
1148,志村幸彦,893030
1149,住谷孝一,836030
1150,西村健,266033
1151,福原正博,562002
1152,村中徹,666030
1153,醍醐徹,439033
1154,藤原牧場,380800
1155,高山直樹,637030
1156,清川信弘,847033
1157,坂田行夫,244008
1158,鈴木史郎,657033
1159,本多敏行,854033
1160,間宮秀直,152033
1161,トール＆ワイド,98700
1162,堀祥子,847030
1163,篁真一郎,942031
1164,ＫＩＣレーシング,566031
1165,門別牧場,14803
1166,中野義一,629002
1167,共田義夫,729008
1168,佐藤則子,116007
1169,宮本育也,245031
1170,小林昌子,350031
1171,ＭＫレーシング,731031
1172,大澤利久,382033
1173,藤原正一,507007
1174,辻川弘,314006
1175,北浦博樹,707033
1176,井上久光,959030
1177,ゲートイン,88700
1178,久松朋史,600031
1179,前川企画,977800
1180,鈴木義孝,820009
1181,村山輝雄,160008
1182,成塚清志,333030
1183,大脇佑樹,719031
1184,藤井亮輔,467033
1185,本谷惠,118030
1186,猪苗代勇,441009
1187,親川智行,750033
1188,松岡研司,415030
1189,手嶋康雄,759030
1190,宇佐見紀之,776031
1191,中村時子,843030
1192,大越徹朗,572031
1193,足立範子,16033
1194,小林章,890002
1195,中越達也,850031
1196,吉冨朝美,238033
1197,堀川三郎,143007
1198,櫻井盛夫,261007
1199,柴一男,796033
1200,中村雄一,294030
1201,山中和子,631002
1202,西村隆平,663033
1203,吉田都枝江,308008
1204,山下貴,489031
1205,中水英紀,282031
1206,李柱坤,8060
1207,岡展宏,982031
1208,國枝久美子,404033
1209,平沼宣秀,480031
1210,Ｈ．Ｉコーポレーション,840800
1211,天白裕之,578031
1212,赤阪治恒,851031
1213,吉井理人,402033
1214,扇寿堂,327803
1215,小松裕志,875031
1216,石川眞実,433002
1217,まるも組合,19700
1218,Ｙ．チュウ,311034
1219,有能,276800
1220,湯澤久徳,705033
1221,町田武,945033
1222,マツシタレーシング,308700
1223,下河辺俊行,185031
1224,吉田修,988005
1225,広富牧場,639800
1226,西田彰宏,728008
1227,北原摩留,435031
1228,星野祐介,362030
1229,谷岡牧場,992800
1230,皆川博文,369008
1231,ウエストヒルズ,83803
1232,ワイズマン,139803
1233,山口正行,178033
1234,宮川保,290033
1235,新冠橋本牧場,352803
1236,伊藤恵介,872033
1237,山科統,309008
1238,平岡茂樹,149007
1239,仲尾正人,61034
1240,キャピタルクラブ,51700
1241,關陽彦,147031
1242,サンデーヒルズ,335700
1243,中野秀樹,747033
1244,叶哲也,536033
1245,チャンピオンズファーム,860800
1246,ＭＭＣ,50803
1247,山本正美,462030
1248,西森鶴,677009
1249,谷岡毅,967033
1250,笹部義則,529002
1251,加藤哲郎,849009
1252,高橋一郎,202006
1253,ユートピア牧場,310800
1254,市瀬章,748030
1255,山岡重行,622033
1256,立花幸雄,972007
1257,イーデン産業,315800
1258,吉田和弘,813033
1259,徳田直樹,314034
1260,伊藤恵子,698002
1261,山口春夫,881006
1262,槇本牧場,405800
1263,伊藤功一,452033
1264,萩本企画,976800
1265,薪浦英稔,40030
1266,道永幸治,394030
1267,橋場勇二,541008
1268,宮副敏明,639031
1269,毛利元昭,492031
1270,細川勝也,699033
1271,山崎泰博,303030
1272,島川利子,440007
1273,林瑛子,549033
1274,平井克彦,318033
1275,琴浦諒,198031
1276,上茶谷一,218008
1277,藤本直弘,450006
1278,並河賢一郎,404002
1279,前田亘輝,30030
1280,勝野産業,863800
1281,康本利幸,549031
1282,呉本昌時,163031
1283,徳山彰俊,883033
1284,沖田正憲,461009
1285,石部高史,852031
1286,庄司紫紀,738033
1287,瀬口信正,909007
1288,ターフライズ,324803
1289,内田滋三,216005
1290,林秀宣,688031
1291,ＭＹレーシング,367803
1292,尾崎恒男,786033
1293,榊原源一郎,942006
1294,グリーンフィールズ,766800
1295,木村久子,695008
1296,Ｍａｃｈｉｕｍａ・Ｇｏｄｄｅｓｓ・Ｒａｃｉｎｇ,339700
1297,盛学志,878031
1298,山本精一,383002
1299,梶原大輔,800033
1300,西川賢,929006
1301,高篠憲一,501031
1302,ケンブリッジバレー,110803
1303,岡田和惠,325034
1304,木村美惠子,392034
1305,下澤晃紀,267031
1306,谷川世樹,73034
1307,Peter Lau Pak Fai,
1308,Sunshine And Moonlight Syndicate,
1309,山田裕二,
1310,ワタナベホールディングス,867800
1311,大江実,714033
1312,中村勝彦,981002
1313,ＭＯＪＡ,85700
1314,武田美香,895031
1315,由比泉子,431031
1316,大林一彦,611006
1317,森田至昭,67034
1318,田所英子,635009
1319,安藤晋平,180033
1320,北村栄治,328803
1321,村岡曉憲,169031
1322,磯波勇Ｆ,345803
1323,横瀬兼二,532002
1324,松澤光洋,859031
1325,甘糟裕介,861033
1326,玉井宏和,702002
1327,橋本謙一,240033
1328,スリーレーシング,343034
1329,柳田悠岐,791031
1330,村尾賢二,288031
1331,江口知宙,3034
1332,大河裕之,832030
1333,松田真由美,322034
1334,柳田英子,623033
1335,白井さゆり,69034
1336,徳永博,619031
1337,長沼秀明,336031
1338,坂口直大,47034
1339,井門敏雄,605009
1340,阿部友弘,249033
1341,伊達牧場,355800
1342,円城幸男,155006
1343,阿部憲三,579008
1344,渡義光,977007
1345,藤沢牧場,317800
1346,渡辺公美子,560030
1347,菅原広隆,547033
1348,澤村敏雄,467004
1349,宮崎冴子,988002
1350,浅野正敏,591006
1351,田中真史,972031
1352,伊東政清,495005
1353,今福洋介,45034
1354,永井廣司,62007
1355,安田光則,750002
1356,吉岡隆,287033
1357,山本武司,253006
1358,石部美恵子,398034
1359,塚本幹雄,911031
1360,西本資史,254033
1361,福田米造,
1362,加藤天明,39034
1363,榊原浩一,285008
1364,渡邊英俊,868031
1365,吉田牧場,686800
1366,須貝廣次,10034
1367,伊藤和宏,473033
1368,田邉滋久,377034
1369,ＬＥＶＥＬーＫ,97803
1370,川島徹郎,462031
1371,黒岩剛史,11060
1372,櫻井素子,353031
1373,坂巻勝彦,810008
1374,原久美子,829031
1375,稲川一,138030
1376,塩田清,315006
1377,ランドエコノミーコンサルタント,116803
1378,伊藤昭文,763031
1379,伊藤弘泰,
1380,平井宏承,584007
1381,廣瀬普,650030
1382,大崎幸路,343002
1383,小倉哲,816031
1384,江川聡子,378034
1385,ＮＲＫレース,581031
1386,北村和江,263006
1387,シンユウ企画,357803
1388,吉野加壽代,991030
1389,Ｈｅｒｏレーシング,117803
1390,佐藤好美,811031
1391,鈴木可一,457004
1392,斉藤敏博,226002
1393,深井孟,186006
1394,高田秀信,349033
1395,巴山尊文,830033
1396,鈴木紋菜,27034
1397,菊地博,
1398,上田正人,115034
1399,ＵＨレーシング,421031
1400,諸岡勲,865031
1401,森口聡,597031
1402,高樽さゆり,418030
1403,阿部幸広,114803
1404,荒井城志,66031
1405,池江泰郎,179033
1406,村野慎之介,254031
1407,阿部憲三,2034
1408,出口牧場,497800
1409,清水貞光,918005
1410,栗本依利子,116034
1411,村上卓,410030
1412,松野真一,344031
1413,ビクトリーホースランチ,885800
1414,松田和志,309031
1415,鈴木道雄,818033
1416,田端修,54030
1417,伊藤正樹,345031
1418,ＫＯＪＩＭＡレーシング,869031
1419,久木田隆,23031
1420,若山義記,355031
1421,伊藤弘人,522031
1422,辻大作,254030
1423,田中善次郎,397030
1424,ネクストトライ,383803
1425,吉田,388803
1426,清水正裕,608033
1427,平井淑郎,149009
1428,ＳＮＳｍｅｄｉａ＆ｃｏｎｓｕｌｔｉｎｇ,111803
1429,原義信,58034
1430,Ｊ．ウィルソン,34060
1431,佐藤牧場,245800
1432,川口泰男,775031
1433,三協ファーム,61803
1434,インフィニテュード・シンジケート,74803
1435,川島牧場,466800
1436,栗本篤志,22034
1437,斉藤三寛,
1438,熊谷貴之,850030
1439,小谷野次郎,702009
1440,大久保與志雄,750030
1441,大崎将行,567031
1442,北星村田牧場,744800
1443,松谷竜二郎,312034
1444,長橋賢吾,844033
1445,有馬博文,230008
1446,ケイズレーシング,949033
1447,豊洋牧場,366800
1448,大久保幸夫,757033
1449,三浦勝仁,810033
1450,齋藤秀昭,493033
1451,坪野谷和平,750005
1452,ＳＡＴホース,516033
1453,柳原克哉,692033
1454,桜井欣吾,952009
1455,サイタグローバル,77700
1456,橋川欣司,396030
1457,笠原眞一郎,897031
1458,本杉芳郎,331006
1459,米山晴敏,54034
1460,小出敬之,37030
1461,長澤稔,205031
1462,天羽牧場,261800
1463,近藤洋司,418031
1464,鈴木淳人,550031
1465,清宮義男,878033
1466,清田洋子,881031
1467,柳橋仁機,842031
1468,佐伯太朗,73031
1469,高橋亨,48034
1470,石田暢子,348034
1471,小池依子,875030
1472,佐藤啓子,606033
1473,クラム,82700
1474,宮本昌彦,
1475,ガーベラパークスタッド,104800
1476,菊地温以,365034
1477,熊澤亮輔,136803
1478,Ｎ．ビザコフ,118034
1479,Ｙａｍａ’ｓレーシング,797031
1480,上村洋司,407031
1481,エキュリ・Ｍ．オッフェンスタッド＆スタンフォードＢ,148803
1482,中野銀十,554009
1483,宮崎忠比古,868005
1484,鈴木教弘,171034
1485,レゾリュート・ブラッドストック＆Ｐ．ウルマン男爵,147803
1486,Ｍ．テイバーＤ．スミスＪ．マグニア夫人＆ヴェス,142803
1487,リバティレーシング２０２１,146803
1488,ナイト商事,592800
1489,市川ファーム,694800
1490,田村彰夫,918033
1491,源津力,857031
1492,浜本洋輔,871033
1493,ケイティリッチステーブルズ,150803
1494,廣松金次,782006
1495,牧野聖子,338031
1496,ダイヤストーン組合,306700
1497,奥村啓二,263005
1498,川下竜彦,33034
1499,山王飯店,250800
1500,色川曉郎,984031
1501,松本智,709031
1502,Ｎ．Ｓ．Ｒ．Ｃ,45700
1503,青山英昭,305033
1504,河野勇樹,949031
1505,龍光,343803
1506,吉野弘司,614030
1507,ヌンクラブ,11803
1508,松本有啓,500031
1509,阿津昌弘,445031
1510,加藤由紀乃,173034
1511,加藤春次,622006
1512,服部邦繁,916033
1513,ミクニ,143803
1514,鈴木修平,213006
1515,田村忠正,
1516,長塩豊,148002
1517,小林博雄,226006
1518,柏瀬金之介,970033
1519,ＴＵＲＨ,74700
1520,河野洋平,689031
1521,ＡｓｓｅｔＭａｎａｇｅｍｅｎｔＳｕｉｔｅ,132803
1522,成瀬篤司,439031
1523,菅井牧場,552800
1524,高橋勉,630006
1525,佐伯成都,6034
1526,高橋京子,582007
1527,甘糟麗子,932033
1528,ＳＹレーシング,795031
1529,生垣博志,
1530,吾妻望,701031
1531,山下恒善,124034
1532,ノブレーシング,699031
1533,近藤健介,384803
1534,臺佳彦,505033
1535,ＲＴレーシング,80034
1536,近藤真衣,62034
1537,伊藤準一郎,
1538,ＴＯＲＡＣＩＮＧ,151803
1539,小菅定雄,127008
1540,谷川昭雄,290031
1541,引地大介,269031
1542,本桐牧場,757800
1543,小林弘明,933008
1544,岡本真二,811033
1545,川崎賢二,282033
1546,八嶋長久,917031
1547,森中啓子,552031
1548,紀州ほそ川飼料,376803
1549,飛渡牧場,988800
1550,九十九章之,685033
1551,池田貴征,13034
1552,坂田栄一,14034
1553,木下康昭,11034
1554,塩川和則,430002
1555,秋谷壽之,970007
1556,ジャスト・タイムクラブ,97700
1557,加藤厚子,446006
1558,ブルアンドベア,843800
1559,吉岡實,265008
1560,シミズレーシング,998033
1561,尾中直也,789031
1562,クラウン,826800
1563,ホースアディクト,67700
1564,玉腰勇吉,960030
1565,醍醐伸之,844002
1566,坂口慎吾,286031
1567,中村政夫,471033
1568,福澤真吾,524033
1569,高木競走馬育成牧場,599800
1570,鳴戸雄一,551008
1571,井村誉志雄,45033
1572,前谷武志,855033
1573,サイレント・ウエストジャパン,187033
1574,トニー倶楽部,73700
1575,ノルディック,793800
1576,西村清子,444031
1577,釘田義広,542008
1578,Ｂ．ミリエール,86034
1579,藤田卓也,40034
1580,栗本八江,44034
1581,大野數芳,339002
1582,中村孝,933006
1583,森本敏正,43034
1584,大橋公堯,904031
1585,蔀恒一,685031
1586,アパルーサレーシング,87700
1587,杉立健次郎,590031
1588,松浦雄一郎,733031
1589,徳田直樹,87034
1590,幡有,247033
1591,大嶋晃一,823031
