ID,項,馬名,性齢,生産年月,調教師,生産者,セリ取引価格,父,母,母父,馬netkeibaID
1,,サンディブロンド,牝2,,,,,,,,2021105821
2,,マイネルディレクト,牡2,,,,,,,,2021106805
3,,セイウンチドリ,牝2,,,,,,,,2021102685
4,,グリントリッター,セ2,,,,,,,,2021100328
5,,マニーブルース,牡2,,,,,,,,2021102752
6,,ニシノリピート,牝2,,,,,,,,2021100402
7,,ミッキードラマー,牡2,,,,,,,,2021104782
8,,イデアガウディ,牡2,,,,,,,,2021103105
9,,サナダ,牡2,,,,,,,,2021101169
10,,クインタレッリ,牡2,,,,,,,,2021102792
11,,ダイシンペルル,牝2,,,,,,,,2021106538
12,,スターリーアイド,牡2,,,,,,,,2021103974
13,,ラスジャン,牡2,,,,,,,,2021101587
14,,エテルノアキーロ,牡2,,,,,,,,2021106007
15,,ツクバアプローズ,牝2,,,,,,,,2021100211
16,,コーストガード,牡3,,,,,,,,2021103189
17,,ファイントパーズ,牝2,,,,,,,,2021107212
18,,ゴールドアローン,牝2,,,,,,,,2021106874
19,,カフェアローロ,牝2,,,,,,,,2021100469
20,,カピリナ,牝2,,,,,,,,2021104073
21,,セージグリーン,牝2,,,,,,,,2021104850
22,,ビーナスライズ,牝2,,,,,,,,2021102342
23,,ラブショック,牝2,,,,,,,,2021100627
24,,ファーマシャイン,牝2,,,,,,,,2021101591
25,,マツリボタン,牝3,,,,,,,,2021103758
26,,アートハラン,牝2,,,,,,,,2021103174
27,,マーゴットエクラ,牝2,,,,,,,,2021102925
28,,クインズスピカ,牝4,,,,,,,,2021106559
29,,ウインアリス,牝2,,,,,,,,2021106224
30,,ミルフルール,牝2,,,,,,,,2021100614
31,,オーシンダイヤ,牝2,,,,,,,,2021102394
32,,ニシノフルール,牝2,,,,,,,,2021104837
33,,フェデラルスタイル,牝3,,,,,,,,2021105032
34,,マンウォル,牝4,,,,,,,,2021103744
35,,ミューシグ,牝3,,,,,,,,2021103326
36,,ジェットブレイク,牡3,,,,,,,,2021100637
37,,ヒカルエリザベス,牝3,,,,,,,,2021104487
38,,マンマミーア,牡3,,,,,,,,2021103317
39,,ニシノデスティーノ,セ3,,,,,,,,2021106995
40,,ケイティブルーム,牝3,,,,,,,,2021107164
41,,ホウオウバラード,牡3,,,,,,,,2021103511
42,,ビアメントブラスト,牝3,,,,,,,,2021100608
43,,ソウテンノヒカリ,牡3,,,,,,,,2021106365
44,,ユズノキ,牝3,,,,,,,,2021104570
45,,アイリータイム,牝3,,,,,,,,2021104546
46,,エルキーオ,牡3,,,,,,,,2021101881
47,,キャラメルコード,牝3,,,,,,,,2021103100
48,,ガラスノイチゴ,牝3,,,,,,,,2021102025
49,,マコタイガ,牡4,,,,,,,,2021101356
50,,ラブラドライト,牡3,,,,,,,,2021103109
51,,タイキオナード,牡3,,,,,,,,2021103169
52,,プラチナバンド,牡3,,,,,,,,2021100045
53,,レッドスフェーン,セ3,,,,,,,,2021105308
54,,カミノケンシン,牡3,,,,,,,,2021109071
55,,キツネノヨメイリ,牝3,,,,,,,,2021110094
56,,ネオクラウン,牡3,,,,,,,,2021106120
57,,ノアファラオ,牡3,,,,,,,,2021104358
58,,ビッグロゴスルーフ,牡3,,,,,,,,2021106522
59,,タルマイサン,牡3,,,,,,,,2021102857
60,,リムショット,牡3,,,,,,,,2021105656
61,,ヴェサリウス,牡4,,,,,,,,2021104401
62,,サザンクーガー,牡3,,,,,,,,2021100843
63,,エコロブレード,牡4,,,,,,,,2021103713
64,,ダンシングボビー,牡3,,,,,,,,2021102229
65,,ミッキーラッキー,牡2,,,,,,,,2021105561
66,,マイネルモメンタム,牡2,,,,,,,,2021106811
67,,ウイントレメンデス,牡2,,,,,,,,2021106193
68,,ウォータースケイプ,牡2,,,,,,,,2021105458
69,,ハイラント,牡2,,,,,,,,2021103033
70,,エラン,牡4,,,,,,,,2021105453
71,,ジーティーオウジャ,牡2,,,,,,,,2021104943
72,,レディマキシマ,牝2,,,,,,,,2021106812
73,,イモータルバード,牡2,,,,,,,,2021100674
74,,フェスティヴカレン,牝2,,,,,,,,2021103193
75,,ネクタール,牝2,,,,,,,,2021106961
76,,マイネルガンナー,牡3,,,,,,,,2021106775
77,,フォローウィンド,牡3,,,,,,,,2021105904
78,,ハルノドゥミプリエ,牝2,,,,,,,,2021103198
79,,ゴールデンスロープ,牡2,,,,,,,,2021102482
80,,プティキャドウ,牝3,,,,,,,,2021102860
81,,キラーインキラーズ,牡2,,,,,,,,2021106317
82,,ルーラーリッチ,セ3,,,,,,,,2020102793
83,,ダスク,牡3,,,,,,,,2020106953
84,,トゥザヒロイン,牝4,,,,,,,,2019105314
85,,キガサ,牝4,,,,,,,,2019100275
86,,コトブキヘスペラス,牡3,,,,,,,,2020100209
87,,デリシュレーヌ,牝5,,,,,,,,2018101497
88,,ゴンドワナ,牡3,,,,,,,,2020103921
89,,クロスザルビコン,牡6,,,,,,,,2017105117
90,,クラウンローゼン,牡3,,,,,,,,2020101425
91,,ポンサン,牡3,,,,,,,,2020100838
92,,リネンマンボ,牡3,,,,,,,,2020101457
93,,サトノバトラー,セ7,,,,,,,,2018105256
94,,クリスプブリーズ,牡3,,,,,,,,2020103923
95,,パワーエンブレム,牡4,,,,,,,,2019106702
96,,アオイゴールドワン,セ4,,,,,,,,2019106321
97,,サプライズビュー,牡5,,,,,,,,2018102681
98,,スピリットガイド,牡2,,,,,,,,2021110021
99,,アララララ,牡2,,,,,,,,2021106440
100,,イサチルシーサイド,牡2,,,,,,,,2021102670
101,,カイコウ,セ2,,,,,,,,2021102388
102,,タイセイフェスタ,牡2,,,,,,,,2021106939
103,,オンザヴィーナス,牝2,,,,,,,,2021105057
104,,クールベイビー,牝2,,,,,,,,2021100356
105,,キョウエイカンセ,牡2,,,,,,,,2021101905
106,,レザンノワール,牡2,,,,,,,,2021104665
107,,モンレーヴ,牝2,,,,,,,,2021101394
108,,イスラアズール,牡2,,,,,,,,2021103552
109,,イツツボシ,牝2,,,,,,,,2021106372
110,,ステラシティ,牝2,,,,,,,,2021102669
111,,セイカティターニア,牝3,,,,,,,,2020101856
112,,イージーオンミー,牝3,,,,,,,,2020101143
113,,サイモンポーリア,牝5,,,,,,,,2018101166
114,,ミニョンルミエール,牝4,,,,,,,,2019104303
115,,ルージュクレセント,牝3,,,,,,,,2020104570
116,,テンホワイトラブ,牝3,,,,,,,,2020104052
117,,ジェイエルフラッグ,牝7,,,,,,,,2016103409
118,,リキサンハート,牝5,,,,,,,,2018102813
119,,ミツカネヴィーナス,牝4,,,,,,,,2019100844
120,,シンボリックレルム,牝4,,,,,,,,2019104958
121,,ランスノーブル,牝3,,,,,,,,2020101250
122,,アステロイドメア,牝3,,,,,,,,2020101709
123,,スピリチュアル,牝3,,,,,,,,2020104634
124,,ラズライト,牝4,,,,,,,,2019103122
125,,ウェンダヴズクライ,牝3,,,,,,,,2020104086
126,,バイロイト,牝5,,,,,,,,2019101920
127,,アドマイヤハレー,牡5,,,,,,,,2018104895
128,,ジオフロント,牡5,,,,,,,,2018104881
129,,サンセットクラウド,牡4,,,,,,,,2019100668
130,,セイウンプラチナ,牡4,,,,,,,,2019102628
131,,ビューティーウェイ,牝5,,,,,,,,2018105115
132,,ダニーデン,牡3,,,,,,,,2020103679
133,,ラーテル,セ3,,,,,,,,2020104285
134,,ロードプレジール,牡7,,,,,,,,2018102576
135,,キャプテンシー,牡2,,,,,,,,2021105370
136,,チャンネルトンネル,牡2,,,,,,,,2021106369
137,,ポッドテオ,牡2,,,,,,,,2021106069
138,,アレンジャー,牡2,,,,,,,,2021100350
139,,ソニックライン,牡2,,,,,,,,2021105871
140,,エイムフォーエース,牡4,,,,,,,,2021104167
141,,シンドリームシン,牡2,,,,,,,,2021105382
142,,チザルピーノ,牡2,,,,,,,,2021101928
143,,ボーモンド,牡2,,,,,,,,2021105777
144,,カズゴルティス,牡2,,,,,,,,2021105608
145,,リカンカブール,牡4,,,,,,,,2019103823
146,,ククナ,牝5,,,,,,,,2018105008
147,,マイネルクリソーラ,牡4,,,,,,,,2019100792
148,,ボーンディスウェイ,牡4,,,,,,,,2019104658
149,,ホウオウアマゾン,牡5,,,,,,,,2018105192
150,,クリノプレミアム,牝6,,,,,,,,2017103201
151,,マテンロウレオ,牡4,,,,,,,,2019102879
152,,カテドラル,牡7,,,,,,,,2016104711
153,,ゴールデンハインド,牝4,,,,,,,,2020105744
154,,マイネルファンロン,牡8,,,,,,,,2015100744
155,,エピファニー,牡4,,,,,,,,2019105532
156,,サクラトゥジュール,セ8,,,,,,,,2017103751
157,,アラタ,牡8,,,,,,,,2017104756
158,,キタウイング,牝3,,,,,,,,2020106967
159,,カレンシュトラウス,牡6,,,,,,,,2017102897
160,,サトノエルドール,牡7,,,,,,,,2016104319
161,,エミュー,牝3,,,,,,,,2020105631
162,,クインズミモザ,牝5,,,,,,,,2018101742
163,,リチャ,牡3,,,,,,,,2020105650
164,,アイファーエポック,牡4,,,,,,,,2019101325
165,,タマモロック,牡3,,,,,,,,2020104861
166,,アイアムイチリュウ,牡6,,,,,,,,2017101159
167,,タケルペガサス,牡5,,,,,,,,2018103278
168,,フリーフロー,牡6,,,,,,,,2017103788
169,,クロースコンバット,牡4,,,,,,,,2019105188
170,,ファイヴレター,牡6,,,,,,,,2017102043
171,,ウインジョイフル,牡7,,,,,,,,2017104168
172,,セラフィナイト,牡5,,,,,,,,2018105237
173,,フォーワンセルフ,牡4,,,,,,,,2019102163
174,,シグナルファイアー,牝3,,,,,,,,2020101228
175,,リバーサルバレット,牡4,,,,,,,,2019106146
176,,アレクサ,牡3,,,,,,,,2020100189
177,,マイネルイリャルギ,牡7,,,,,,,,2017101877
178,,セレブレイトエール,牡2,,,,,,,,2021104109
179,,カフジテルビウム,牡2,,,,,,,,2021102150
180,,ルージュシュエット,牝2,,,,,,,,2021105640
181,,ヤマニンアラクリア,牡2,,,,,,,,2021100284
182,,アメリカンチーフ,牡2,,,,,,,,2021110123
183,,メイショウアラセツ,牡2,,,,,,,,2021102836
184,,メイショウムカバキ,牡2,,,,,,,,2021100741
185,,フォートポータル,セ3,,,,,,,,2021103251
186,,メイショウマツリ,牡2,,,,,,,,2021103270
187,,ヤルキゲンキフトシ,牡2,,,,,,,,2021103972
188,,カレンワッツアップ,牡2,,,,,,,,2021104321
189,,スターチスブーケ,牝2,,,,,,,,2021110075
190,,ソニック,牡2,,,,,,,,2021106754
191,,メネラオス,牡2,,,,,,,,2021105840
192,,オスピタリテ,牝2,,,,,,,,2021101723
193,,タイセイサクシード,牡2,,,,,,,,2021103496
194,,ハーバーライト,牡2,,,,,,,,2021105477
195,,キタノハヤブサ,牡2,,,,,,,,2021104557
196,,カズタンジャー,牡2,,,,,,,,2021101259
197,,アイファーキャップ,牡2,,,,,,,,2021107295
198,,マテンロウガーデン,牡2,,,,,,,,2021103023
199,,ノイヤーヘルト,牡2,,,,,,,,2021105055
200,,テーオーカルドア,牡2,,,,,,,,2021106761
201,,ウインメラナイト,牡2,,,,,,,,2021106196
202,,クワッドルッツ,牡2,,,,,,,,2021105147
203,,サンライズマウレア,牡2,,,,,,,,2021102242
204,,ピースウォリアー,牡2,,,,,,,,2021101618
205,,ハチャトリアン,牡3,,,,,,,,2021102020
206,,ダンツパルス,セ3,,,,,,,,2021102961
207,,シュラハト,牡2,,,,,,,,2021102507
208,,シュヴァイゲン,牡3,,,,,,,,2021103886
209,,ブルーメンコルソ,セ3,,,,,,,,2021103915
210,,オアシスドール,牝2,,,,,,,,2021103583
211,,ランランガール,牝2,,,,,,,,2021105003
212,,ハッピーダンス,牝2,,,,,,,,2021105916
213,,リリーズブルーム,牝2,,,,,,,,2021101725
214,,カネコメファミリー,牝4,,,,,,,,2021104151
215,,テイケイモハラ,牝3,,,,,,,,2021101584
216,,フルリール,牝2,,,,,,,,2021107178
217,,ネオアステーリ,牝2,,,,,,,,2021106125
218,,サンネリネ,牝2,,,,,,,,2021101298
219,,グディンナ,牝2,,,,,,,,2021102162
220,,グラス,牝3,,,,,,,,2021101760
221,,アルピニスト,牝2,,,,,,,,2021106296
222,,メイショウニコニコ,牝2,,,,,,,,2021102031
223,,プレジャー,牝2,,,,,,,,2021104454
224,,ワキノルーチェ,牝2,,,,,,,,2021102156
225,,ワンダーエトワール,牝3,,,,,,,,2021102665
226,,テーオーパスワード,牡4,,,,,,,,2021102236
227,,スマートリアファル,牡4,,,,,,,,2021102083
228,,マテンロウブラボー,牡3,,,,,,,,2021101422
229,,ケーヴァラ,牡3,,,,,,,,2021106054
230,,パカーラン,牡4,,,,,,,,2021105073
231,,ギマール,牡4,,,,,,,,2021105931
232,,ナムラカメジロー,牡3,,,,,,,,2021104305
233,,エクササイズ,牡3,,,,,,,,2021103099
234,,サンライズウェーヴ,牡3,,,,,,,,2021102221
235,,タガノアウル,牡3,,,,,,,,2021106011
236,,ジャスティンライズ,牡3,,,,,,,,2021103237
237,,ヤマニンステラータ,牡3,,,,,,,,2021106603
238,,タイセイクエスト,牡3,,,,,,,,2021100262
239,,スターメイデン,牝4,,,,,,,,2021110140
240,,ニホンピロジェシカ,牝3,,,,,,,,2021104211
241,,セルリアンジャガー,牡3,,,,,,,,2021101892
242,,エラトー,牝2,,,,,,,,2021105442
243,,カズミクラーシュ,牡2,,,,,,,,2021105564
244,,パシフィックハイ,牝2,,,,,,,,2021105141
245,,スピードリッチ,牡2,,,,,,,,2021105438
246,,モンサンケコア,牡2,,,,,,,,2021106152
247,,コルレオニス,牡2,,,,,,,,2021105704
248,,オルドヴァイ,牡2,,,,,,,,2021104968
249,,アクイローネ,牡2,,,,,,,,2021101059
250,,ジャズ,牡2,,,,,,,,2021103227
251,,コーラルハート,牝2,,,,,,,,2021101426
252,,ヒルノセビリア,牝2,,,,,,,,2021103006
253,,ギルトエッジ,牡2,,,,,,,,2021104537
254,,テクノドラゴン,牡3,,,,,,,,2021105277
255,,エールヴァーゲ,牝2,,,,,,,,2021104956
256,,ハッピーギフト,牝2,,,,,,,,2021106701
257,,クリノラリマール,牝2,,,,,,,,2021109059
258,,ロングレジリエント,牡3,,,,,,,,2021102816
259,,セングンバンバ,牡2,,,,,,,,2021105444
260,,ピューロマジック,牝2,,,,,,,,2021107058
261,,アンクルクロス,牡2,,,,,,,,2021101598
262,,パッシングシャワー,牡3,,,,,,,,2021110033
263,,セントキルダ,牡2,,,,,,,,2021105175
264,,ルージュレベッカ,牝2,,,,,,,,2021105312
265,,アイタカ,牝3,,,,,,,,2021109114
266,,アガシ,牡2,,,,,,,,2021100653
267,,ハッピーサプライズ,牡2,,,,,,,,2021106395
268,,アナベルエクラ,牝2,,,,,,,,2021105435
269,,プレパラシオン,牝2,,,,,,,,2021105018
270,,ダンテバローズ,牡3,,,,,,,,2020104661
271,,サンライズパスカル,牡3,,,,,,,,2020102343
272,,ネッケツシャチョウ,牡3,,,,,,,,2020105954
273,,ダノンフューチャー,牡4,,,,,,,,2019105456
274,,シャンデルナゴル,牡3,,,,,,,,2020103193
275,,ブライトホルン,牡4,,,,,,,,2019100617
276,,ダークモード,牡3,,,,,,,,2020110052
277,,メジャークオリティ,牡4,,,,,,,,2019104913
278,,マルカブリッツ,牡5,,,,,,,,2020103123
279,,セレクティオ,牡3,,,,,,,,2020100987
280,,メイショウホーコン,牡4,,,,,,,,2019104098
281,,ジュンウィンダム,牝3,,,,,,,,2020106062
282,,ディアサクセサー,牡3,,,,,,,,2020103074
283,,リュウ,牡3,,,,,,,,2020101578
284,,ベンダバリラビア,牡3,,,,,,,,2020101968
285,,ゼットノヴァ,牡4,,,,,,,,2019106593
286,,オカリナ,牡6,,,,,,,,2017101726
287,,ビップシュプリーム,牝4,,,,,,,,2019105241
288,,タイキエクセロン,牡4,,,,,,,,2019103996
289,,テンメジャーガール,牝4,,,,,,,,2019104549
290,,スカーレットジンク,牡5,,,,,,,,2018104333
291,,ブラーヴ,牡3,,,,,,,,2020106733
292,,フクノワカバ,牝3,,,,,,,,2020106795
293,,エクサープト,牝4,,,,,,,,2019102481
294,,テイエムフェロー,牡4,,,,,,,,2019103421
295,,ナツイロノオトメ,牝4,,,,,,,,2019103726
296,,ロードジャスティス,牡5,,,,,,,,2019103027
297,,モズリッキー,牡4,,,,,,,,2019106699
298,,サトノルフィアン,牡4,,,,,,,,2019106575
299,,フォーチュンテラー,牡4,,,,,,,,2019100631
300,,コパノパサディナ,牡3,,,,,,,,2020100829
301,,メイショウヒューマ,牡5,,,,,,,,2018106560
302,,シアージスト,牡4,,,,,,,,2019110009
303,,ナムラフランク,牡4,,,,,,,,2019101975
304,,マイネルプロンプト,セ11,,,,,,,,2012100683
305,,ヴァンデリオン,牡6,,,,,,,,2017110173
306,,ウインアキレウス,牡5,,,,,,,,2018101616
307,,インヒズアイズ,牝3,,,,,,,,2020110147
308,,ブレーヴジャッカル,セ5,,,,,,,,2018105187
309,,メイショウブレゲ,牡4,,,,,,,,2019104091
310,,ウインルーティン,牡3,,,,,,,,2020105206
311,,メロディーレーン,牝7,,,,,,,,2016105526
312,,ジャンカズマ,牡5,,,,,,,,2018105308
313,,ワンダフルタウン,牡5,,,,,,,,2018105074
314,,プリュムドール,牝5,,,,,,,,2018103499
315,,アスティ,セ7,,,,,,,,2016104998
316,,ディナースタ,牡4,,,,,,,,2019101507
317,,セファーラジエル,牡5,,,,,,,,2018105131
318,,アップデート,牡4,,,,,,,,2019101716
319,,ビジン,牝4,,,,,,,,2019106410
320,,フォワードアゲン,セ6,,,,,,,,2017102537
321,,ボスジラ,牡7,,,,,,,,2016104635
322,,コレペティトール,牡3,,,,,,,,2020103043
323,,セッション,牡3,,,,,,,,2020103639
324,,トゥードジボン,牡4,,,,,,,,2019104730
325,,アヴェラーレ,牝5,,,,,,,,2018104910
326,,フリームファクシ,牡3,,,,,,,,2020103661
327,,メイショウシンタケ,牡5,,,,,,,,2018106318
328,,タイムトゥヘヴン,牡5,,,,,,,,2018100184
329,,ダノンタッチダウン,牡3,,,,,,,,2020103277
330,,ルプリュフォール,セ7,,,,,,,,2016105223
331,,アンドヴァラナウト,牝5,,,,,,,,2018105020
332,,アルナシーム,牡4,,,,,,,,2019105252
333,,サヴァ,牡6,,,,,,,,2018103223
334,,セルバーグ,牡4,,,,,,,,2019106670
335,,ドーブネ,牡4,,,,,,,,2019104896
336,,ビューティフルデイ,牝5,,,,,,,,2018103929
337,,マテンロウオリオン,牡4,,,,,,,,2019100965
338,,シャイニーロック,牡7,,,,,,,,2016103884
339,,ドルチェモア,牡3,,,,,,,,2020101533
340,,アスクオンディープ,セ4,,,,,,,,2019101612
341,,ルクスビッグスター,牡3,,,,,,,,2020104297
342,,ティムール,牡3,,,,,,,,2020103048
343,,ノーブルライジング,牡4,,,,,,,,2020101697
344,,ヴィトーリア,牡5,,,,,,,,2018104477
345,,トリオンファルマン,牝3,,,,,,,,2020105652
346,,アンテロース,牡3,,,,,,,,2020100678
347,,ロードマンハイム,牡5,,,,,,,,2020100177
348,,ワンダイレクト,牡5,,,,,,,,2020103129
349,,ジーニアスバローズ,牡3,,,,,,,,2020100681
350,,コナブラック,牡4,,,,,,,,2019105191
351,,マグマオーシャン,牡4,,,,,,,,2019104558
352,,シルヴァーデューク,牡3,,,,,,,,2020100052
353,,フォーサイドナイン,牡3,,,,,,,,2020106661
354,,ニホンピロアリー,牝4,,,,,,,,2020104224
355,,アルファヒディ,セ6,,,,,,,,2019105322
356,,マテンロウボンド,牡6,,,,,,,,2019103659
357,,ライングッドマン,牡2,,,,,,,,2021101930
358,,イーサンハンター,牡2,,,,,,,,2021104362
359,,オモカゲジョー,牡2,,,,,,,,2021109094
360,,タマエスポワール,牡2,,,,,,,,2021102087
361,,ヨリナエスポワール,牡2,,,,,,,,2021102671
362,,フジゴウキャク,牡2,,,,,,,,2021101906
363,,ホウオウフロイト,牡2,,,,,,,,2021103549
364,,エコロセブン,牡2,,,,,,,,2021103370
365,,サンウイキョウ,牡2,,,,,,,,2021101306
366,,デルミオクオーレ,牡2,,,,,,,,2021106841
367,,ペイシャツネ,牡2,,,,,,,,2021106009
368,,ケイツーレオン,牡2,,,,,,,,2021100202
369,,ユイノグランコード,牡3,,,,,,,,2021103605
370,,サルバシオン,牡3,,,,,,,,2021101820
371,,ブルパーチェ,セ3,,,,,,,,2021100263
372,,シュトウルム,牡2,,,,,,,,2021107392
373,,アムールドパリ,牝2,,,,,,,,2021105264
374,,クォーツァイト,牝4,,,,,,,,2021104777
375,,ビップレーヌ,牝2,,,,,,,,2021100886
376,,コパノエビータ,牝2,,,,,,,,2021102219
377,,ルージュアベリア,牝2,,,,,,,,2021105058
378,,ライトピラー,牝3,,,,,,,,2021101204
379,,プレシュラージュ,牝2,,,,,,,,2021104969
380,,タマモポロネーズ,牝2,,,,,,,,2021104523
381,,ギースバッハ,牝2,,,,,,,,2021102247
382,,ツインクルステージ,牝2,,,,,,,,2021103512
383,,サンセットブライト,牝2,,,,,,,,2021102753
384,,アパイシュナール,牝2,,,,,,,,2021100005
385,,ミユキアテスウェイ,牝2,,,,,,,,2021107286
386,,ベアエンジェル,牝2,,,,,,,,2021100213
387,,バエル,牝2,,,,,,,,2021102126
388,,ウインブリエ,牝2,,,,,,,,2021106221
389,,ウインイメル,牡2,,,,,,,,2021106213
390,,ダイクロアイト,牡2,,,,,,,,2021105524
391,,ニシノコルベット,牡2,,,,,,,,2021100374
392,,ミレニアムヒロイン,牝2,,,,,,,,2021103480
393,,カシノカンピオーネ,牡2,,,,,,,,2021100516
394,,ダノンマカルー,牡2,,,,,,,,2021105965
395,,エイブラムス,牡2,,,,,,,,2021100260
396,,ミーハ,牡2,,,,,,,,2021104410
397,,マシュー,牡4,,,,,,,,2021104738
398,,ジョリーメモリー,牡2,,,,,,,,2021104072
399,,サウナストーン,牡2,,,,,,,,2021104569
400,,グレック,牡2,,,,,,,,2021104727
401,,ニシノエール,セ2,,,,,,,,2021100946
402,,クルシナ,牡2,,,,,,,,2021104425
403,,マメタクン,セ2,,,,,,,,2021101767
404,,マツシマ,牡2,,,,,,,,2021101168
405,,ビップランバン,牡5,,,,,,,,2018105050
406,,メルテミア,牡5,,,,,,,,2018103266
407,,ワールドスケール,牡6,,,,,,,,2017106372
408,,アースブレイブ,セ6,,,,,,,,2017106236
409,,ボイラーハウス,牡5,,,,,,,,2018106183
410,,ルレーヴドゥリリ,牝6,,,,,,,,2017103710
411,,ブリエヴェール,牡5,,,,,,,,2018104849
412,,アメリカンピース,セ5,,,,,,,,2018110131
413,,サンマルグレイト,牡3,,,,,,,,2020101779
414,,ソルトキャピタル,牡6,,,,,,,,2017100169
415,,メノーグラジオラス,牡4,,,,,,,,2019102944
416,,タリスアマゾン,牡3,,,,,,,,2020104766
417,,ワンダーウォール,牡5,,,,,,,,2018103537
418,,ティアップエックス,セ4,,,,,,,,2020100733
419,,シャインズオンユー,牡2,,,,,,,,2021103535
420,,テートモダン,セ2,,,,,,,,2021101275
421,,ヴィヴァクラウン,牡2,,,,,,,,2021101595
422,,ロクシアス,牡2,,,,,,,,2021105890
423,,ヒャクモノガタリ,牝2,,,,,,,,2021101450
424,,ローンウルフ,牡2,,,,,,,,2021104112
425,,ミサトベレーザ,牝2,,,,,,,,2021103689
426,,ニシノプレゼント,牝2,,,,,,,,2021100194
427,,エフォートレス,牡2,,,,,,,,2021100564
428,,チカチャン,牝2,,,,,,,,2021102864
429,,ミヤビハイジア,牝2,,,,,,,,2021103884
430,,トーセンシナモン,牝2,,,,,,,,2021104702
431,,ミランダアスール,牝2,,,,,,,,2021101233
432,,アオイラリュヌ,牝2,,,,,,,,2021106914
433,,ハルテロス,牝2,,,,,,,,2021104430
434,,メーオーテソーロ,牝2,,,,,,,,2021102288
435,,スティンガーグラス,牡3,,,,,,,,2021105829
436,,アンゴラブラック,牝4,,,,,,,,2021105738
437,,ヘヴンズクライ,牡3,,,,,,,,2021105981
438,,バランスダンサー,牝4,,,,,,,,2021104160
439,,フォルテフィオーレ,牡4,,,,,,,,2021100165
440,,デルマスカンダ,牡3,,,,,,,,2021101988
441,,スズノアムール,牝3,,,,,,,,2021104499
442,,コスモハーディング,牡3,,,,,,,,2021106786
443,,オーサムピクチャ,牝4,,,,,,,,2021104148
444,,ルージュアイトーン,牝3,,,,,,,,2021105545
445,,エコロアース,牡3,,,,,,,,2021101404
446,,サルヴェージワーク,牡3,,,,,,,,2021110090
447,,ノリサンブラック,牡3,,,,,,,,2021101734
448,,リアルセンター,牝3,,,,,,,,2021103518
449,,サツキイルージョン,牝3,,,,,,,,2021104623
450,,イングリッドローズ,牝3,,,,,,,,2021104746
451,,グランコネクシオン,牝4,,,,,,,,2021105123
452,,アラレタバシル,牡2,,,,,,,,2021107192
453,,ネオシルバー,牡2,,,,,,,,2021106063
454,,ピュアキアン,牡2,,,,,,,,2021107001
455,,ロードブレイズ,牡2,,,,,,,,2021100162
456,,モンサンアクシア,牡2,,,,,,,,2021101446
457,,バナマンテソーロ,牡2,,,,,,,,2021102281
458,,ブレードサクセス,牡2,,,,,,,,2021103376
459,,ダイヤモンドナイツ,牡2,,,,,,,,2021107238
460,,サンダーアラート,牡2,,,,,,,,2021101671
461,,タイセイアディクト,牡2,,,,,,,,2021106126
462,,コスモジンバック,牡2,,,,,,,,2021106797
463,,メッエフアパラ,牡2,,,,,,,,2021106066
464,,ボーイハンター,牝2,,,,,,,,2021104987
465,,マンノステータス,牡3,,,,,,,,2020105471
466,,マウンテンエース,牡3,,,,,,,,2020104452
467,,トーセンクライスト,牡4,,,,,,,,2019104467
468,,ラフシー,牡5,,,,,,,,2019101896
469,,カムランベイ,牡3,,,,,,,,2020101803
470,,キープブライトン,牡3,,,,,,,,2020101008
471,,フリッパー,牡5,,,,,,,,2020100078
472,,ジャクソン,牡3,,,,,,,,2020104354
473,,トゥルース,牡3,,,,,,,,2020104479
474,,ベルウッドグラス,牡3,,,,,,,,2020104945
475,,ジョーカーブラウン,牡5,,,,,,,,2019103488
476,,ジャックパール,牡3,,,,,,,,2020101508
477,,ルージュアマルフィ,牝3,,,,,,,,2020110121
478,,リゼレインボー,牡6,,,,,,,,2019102676
479,,チャコワールド,牡4,,,,,,,,2019102953
480,,ブレードキング,牡3,,,,,,,,2020106385
481,,ダイバリオン,牡4,,,,,,,,2019105383
482,,ヤマニンエンディマ,牡3,,,,,,,,2020105603
483,,エルディアブロ,牡5,,,,,,,,2018104512
484,,シテフローラル,セ7,,,,,,,,2018105086
485,,セナリスト,牝5,,,,,,,,2018105336
486,,ボーンイングランデ,牡3,,,,,,,,2020106439
487,,ソワドリヨン,牝3,,,,,,,,2020102725
488,,パトリックハンサム,牡4,,,,,,,,2019103850
489,,マイネルニコラス,牡4,,,,,,,,2019100768
490,,エイトキングゴッド,牡3,,,,,,,,2020103865
491,,グランドライン,牡4,,,,,,,,2019100861
492,,インナリオ,牝5,,,,,,,,2018104925
493,,ニシノファンフェア,牡3,,,,,,,,2020100382
494,,エトワールマタン,牝5,,,,,,,,2018104711
495,,コスモフロイデ,牡5,,,,,,,,2019102937
496,,クレバーテースト,セ4,,,,,,,,2019107025
497,,マイネルビジョン,牡3,,,,,,,,2020107036
498,,ヴァルツァーシャル,牡4,,,,,,,,2019102437
499,,キタノリューオー,牡5,,,,,,,,2018104462
500,,アルーブルト,牡5,,,,,,,,2018100763
501,,キングストンボーイ,セ5,,,,,,,,2018102657
502,,テーオードレフォン,牡4,,,,,,,,2019101324
503,,ペイシャエス,牡5,,,,,,,,2019104245
504,,ウェルカムニュース,牡4,,,,,,,,2019105537
505,,ナチュラルハイ,牡3,,,,,,,,2020105939
506,,エナハツホ,牝4,,,,,,,,2019100094
507,,ブラックアーメット,牡5,,,,,,,,2018104059
508,,フォルコメン,セ7,,,,,,,,2016104926
